Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
76,1,125459,64850,मालवण,Malvan,कसाल,Kasal,"बागायत,पोईप,तळगाव",52.6,06:30,08:30,OPT,DAIL,,,,,,,,147
77,2,10897,64851,कसाल,Kasal,वायंगवडे,Waingawade Fata,,12.6,08:40,09:10,SCL,DAIL,,,,,,,TPL,148
78,3,19860,64852,वायंगवडे,Waingawade Fata,कसाल,Kasal,,12.6,09:15,09:45,SCL,DAIL,,,,,,,TPL,149
79,4,126172,64853,कसाल,Kasal,कट्टा,Katta,तळगाव,21.1,09:55,10:45,SCL,DAIL,,,,,,,TPL,150
80,5,10898,64854,कट्टा,Katta,चुनवरे,Chunvare,"गोळवण,पोईप",17.1,10:50,11:30,SCL,DAIL,,,,,,,,151
81,6,20105,64855,चुनवरे,Chunvare,कट्टा,Katta,"पोईप,गोळवण",17.1,11:35,12:15,SCL,DAIL,,,,,,,,152
82,7,125594,64856,कट्टा,Katta,कसाल,Kasal,"डिकवल,खोटले",21.2,12:20,13:10,SCL,DAIL,,154.3,07:20,07:20,,,,153
83,1,125732,64857,कसाल,Kasal,कट्टा,Katta,"खोटले,डिकवल",21.1,13:30,14:20,SCL,DAIL,,,,,,,,155
84,2,125594,64858,कट्टा,Katta,कसाल,Kasal,"डिकवल,खोटले",21.1,14:30,15:20,SCL,DAIL,,,,,,,,156
85,3,126172,64859,कसाल,Kasal,कट्टा,Katta,तळगाव,21.1,16:20,17:00,SCL,DAIL,,,,,,,,157
86,4,148823,64860,कट्टा,Katta,गोळवण,Golvan School,"चुनवरे बंद ( डिकवल ,पोईप 09 किमी कमी )",15,17:10,17:40,SCL,DAIL,विश्रांती 15.20 ते 16.20,,,,,,,158
87,5,148822,64861,गोळवण,Golvan School,सिंधुदुर्गनगरी,Sindhudurgnagari,गोळवण (पोईप बंद 10.8 किमी कमी ),18.3,17:50,18:15,OBL,SUN,,,,,,,,159
89,6,122701,64862,सिंधुदुर्गनगरी,Sindhudurgnagari,मालवण,Malvan,कटृटा,30,18:30,19:30,OBL,SUN,,126.6,06:25,05:15,,,,160
89,,90948,65057,गोळवण,Golvan School,कट्टा,Katta,,6.4,17:50,18:00,,,,,,,,,,161
89,,79146,65058,कट्टा,Katta,मालवण,Malvan,,21,18:10,18:50,,,,,,,,,,162
90,1,125491,64863,मालवण,Malvan,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,धामापुर,29.5,07:30,08:30,RAIL CN,DAIL,,,,,,,,163
91,2,19952,64864,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,09:00,10:00,RAIL CN,DAIL,,,,,,,,164
92,3,10998,64865,मालवण,Malvan,आचरा,Achara,सरळ,21,12:00,12:55,OBL,DAIL,,,,,,,,165
93,4,151016,64866,आचरा,Achara,आचरा,Achara,"हिर्लेवाडी ,बौध्दवाडी,पाटवाडी⁇⁇⁇⁇⁇ ुीग्ज",15,13:05,13:55,SCL,SUN,विश्रांती 10.00 ते 12.00,,,,,,,166
94,5,69037,64867,आचरा,Achara,कुडोपी,Kudopi,,12,14:05,14:30,SCL,SUN,,,,,,,,167
95,6,20098,64868,कुडोपी,Kudopi,आचरा,Achara,,12,14:40,15:05,SCL,SUN,,,,,,,,168
