Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
47,8,11239,S66668,तरळा,Tarla,फोंडा,Phonda,,18.2,18:45,19:35,,,,145.2,08:00,06:45,,,,116
48,1,30118,S66669,फोंडा,Phonda,तरळा,Tarla,फोंडा,18.2,06:00,06:40,,,,,,,,,,118
48,2,52539,S66670,तरळा,Tarla,मनचे,Manche,,25.5,06:50,07:30,,,,,,,,,,119
48,3,59824,S66671,मनचे,Manche,तरळा,Tarla,,25.5,07:35,08:20,,,,,,,,,,120
48,4,11235,S66672,तरळा,Tarla,आेजरम महादेवाची वाडी,Ozaram Mahadevachiwadi,,8.5,08:25,08:45,,,,,,,,,,121
48,5,19846,S66673,आेजरम महादेवाची वाडी,Ozaram Mahadevachiwadi,तरळा,Tarla,,8.5,08:50,09:10,,,,,,,,,,122
48,6,125434,S66674,तरळा,Tarla,फोंडा,Phonda,,18,09:20,09:55,,,,,,,,,,123
48,7,30118,S66675,फोेंडा,Phonda,तरळा,Tarla,,18.2,10:30,11:10,,,,,,,,,,124
48,8,11231,S66676,तरळा,Tarla,महावळुंगे सकुल,Mahalunge School,,21,11:20,12:05,,,,,,,,,,125
48,9,30115,S66677,महावळुंगे,,तरळा,Tarla,,21,12:10,13:00,,,,164.4,07:30,07:10,,,,126
49,1,125434,S66678/1,तरळा,Tarla,फोंडा,Phonda,,18,13:15,13:50,,,,,,,,,,128
49,2,19847,S66679,फोेंडा,Phonda,तरळा,Tarla,गडमठ शाळा,22.6,14:20,15:10,,,,,,,,,,129
49,3,11238,S66680,तरळा,Tarla,फोंडा,Phonda,गडमठ शाळा,22.6,15:20,16:10,,,,,,,,,,130
49,4,59827,S66681,फोेंडा (तरळा),,विजयदुर्ग,Vijaydurg,,86,16:20,19:30,,,,149.2,06:45,06:25,,,,131
50,1,30102,S66635,विजयदुर्ग,Vijaydurg,देवगड,Devgad,बांदेवाडी,28.6,12:05,13:15,,,,,,,,,,133
50,2,10781,S66636,देवगड,Devgad,विजयदुर्ग,Vijaydurg,बांदेवाडी,28.6,13:30,14:40,,,,,,,,,,134
50,3,11390,S66637,विजयदुर्ग,Vijaydurg,वौभववाडी,Vaibhavwadi,,81,15:40,18:20,,,,,,,,,,135
50,4,11251,S66638,वौभववाडी,Vaibhavwadi,शिराळे,Shirale,,13.3,18:25,19:00,,,,151.5,07:35,06:40,,,,136
51,1,19843,S66639,शिराळे,Shirale,वौभववाडी,Vaibhavwadi,,13.3,06:40,07:15,,,,,,,,,,138
51,2,50456,S66640,वौभववाडी,Vaibhavwadi,विजयदुर्ग,Vijaydurg,,81,07:20,10:35,,,,,,,,,,139
51,3,30102,S66641,विजयदुर्ग,Vijaydurg,देवगड,Devgad,बांदेवाडी,28.6,14:30,15:40,,,,,,,,,,140
51,4,10725,S66642,देवगड,Devgad,मनचे बंदर,Manche Bandar,,62.2,16:20,18:20,,,,185.1,12:00,07:25,,,,141
52,1,30089,S66643,मनचे बंदर,Manche Bandar,देवगड,Devgad,,52,06:30,08:30,,,,,,,,,,143
52,2,79018,S66644,देवगड,Devgad,मिठबांव,Mithbav Hospital,इळये पाटटार,25.3,08:40,09:30,,,,,,,,,,144
52,3,79019,S66645,मिठबांव,Mithbav Hospital,देवगड,Devgad,इळये पाटटार,25.3,09:35,10:30,,,,,,,,,,145
52,4,65064,S66646,देवगड,Devgad,विजयदुर्ग,Vijaydurg,कोठारवाडी,35.2,10:40,12:00,,,,137.8,05:55,05:55,,,,146
54,5,128451,S66651,विजयदुर्ग,Vijaydurg,अणपुर,Anpur,कांठे,6,07:00,07:10,SCH,,,,,,,SCHOOL,,148
54,5,128451,S66652,अणपुर,Anpur,देवगड,Devgad,कांठे,6,07:20,07:30,SCH,,,,,,,SCHOOL,,149
54,2,63578,S66653,विजयदुर्ग,Vijaydurg,देवगड,Devgad,घरीवाडी,42,08:00,09:25,SCH,,,,,,,SCHOOL,,150
54,3,10774,S66654,देवगड,Devgad,विजयदुर्ग,Vijaydurg,अनपुर फाटा,35,09:45,11:05,SCH,,,,,,,SCHOOL,,151
54,4,127393,S66655,विजयदुर्ग,Vijaydurg,देवगड,Devgad,कोठारवाडी,35,14:00,15:15,SCH,,,,,,,SCHOOL,,152
54,5,10770,S66656,देवगड,Devgad,विजयदुर्ग,Vijaydurg,पडेल गांव,50.2,16:00,17:40,SCH,,,174.2,11:25,07:25,,SCHOOL,,153
55,1,62855,S66620,विजयदुर्ग,Vijaydurg,देवगड,Devgad,हुरशी,35,05:45,07:10,,,,,,,,,,155
55,2,10744,S66621,देवगड,Devgad,पाळेकरवाडी,Palekarwadi,,48.8,07:15,09:15,,,,,,,,,,156
55,3,30091,S66622,पालेकरवाडी,Palekarwadi,देवगड,Devgad,,39.8,09:20,11:15,,,,,,,,,,157
55,4,10775,S66623,देवगड,Devgad,विजयदुर्ग,Vijaydurg,वेलणकर टाांब,35.2,11:45,13:00,,,,158.8,08:00,07:40,,,,158
56,1,29866,S66601,विजयदुर्ग,Vijaydurg,देवगड,Devgad,बांदेवाडी,37.3,11:15,12:25,,,,,,,,,,160
56,2,10782,S66602,देवगड,Devgad,वाघोटण बंदर,Waghotan Bandar,,45,13:35,14:05,,,,,,,,,,161
56,3,30125,S66603,वाघोटण बंदर,Waghotan Bandar,विजयदुर्ग,Vijaydurg,,36,14:20,15:35,,,,,,,,,,162
56,4,30102,S66604,विजयदुर्ग,Vijaydurg,देवगड,Devgad,बांदेवाडी,28.6,16:35,17:45,,,,,,,,,,163
56,5,10751,S66605,देवगड,Devgad,meeQoeUs हायसकुल,,,42,18:00,19:30,,,,188.9,08:55,07:55,,,,164
57,1,30092,S66606,meewQoeUs हायसकुल,,देवगड,Devgad,,42,05:45,07:15,,,,,,,,,,166
57,2,10769,S66607,देवगड,Devgad,विजयदुर्ग,Vijaydurg,कोेंडांबा,35,07:40,09:00,,,,,,,,,,167
57,3,30099,S66608,विजयदुर्ग,Vijaydurg,देवगड,Devgad,पुरळ कलंबई फाटा,35,09:30,10:50,,,,,,,,,,168
57,4,10771,S66609,देवगड,Devgad,विजयदुर्ग,Vijaydurg,कट्टा,29.7,11:00,12:05,,,,141.7,06:45,06:10,,,,169
58,1,123467,S66687/1,विजयदुर्ग,Vijaydurg,खारेपाटण,Kharepatan,,86.8,05:25,08:30,,,,,,,,,,171
58,2,10908,S66688,खारेपाटण,Kharepatan,चिंचवली वरचीवाडी,Chinchawali Warchiwadi,,8,08:40,09:00,SCH,,,,,,,SCHOOL,,172
58,3,19169,S66689,चिंचवली वरचीवाडी,Chinchawali Warchiwadi,खारेपाटण,Kharepatan,,8,09:05,09:25,SCH,,,,,,,SCHOOL,,173
58,4,47346,S66690,खारेपाटण,Kharepatan,कणकवली,Kankavli,,37.5,09:45,10:55,SCH,,,,,,,SCHOOL,,174
58,5,10885,S66691,कणकवली,Kankavli,वौभववाडी,Vaibhavwadi,करूळ,37,11:05,12:25,SCH,,,177.3,08:05,07:35,,SCHOOL,,175
59,1,103507,S66692,वौभववाडी,Vaibhavwadi,पाचल,Pachal,रिंगेवाडी /जवळेटार,58.9,12:45,14:55,SCH,,,,,,,SCHOOL,,177
59,2,103504,S66693,पाचल,Pachal,वौभववाडी,Vaibhavwadi,जवळेटार,60,15:05,17:05,SCH,,,,,,,SCHOOL,,178
59,3,108674,S66694,वौभववाडी,Vaibhavwadi,कणकवली,Kankavli,पावणादेवी,45,17:15,18:45,SCH,,,,,,,SCHOOL,,179
59,4,11343,S66695,कणकवली,Kankavli,तरळा,Tarla,,21.5,19:15,19:45,SCH,,,185.4,07:30,07:10,,SCHOOL,,180
60,1,11238,S66696,तरळा,Tarla,फोंडा,Phonda,गडमठ शाळा,22.6,06:30,07:10,SCH,,,,,,,SCHOOL,,182
60,2,11363,S66697,फोेंडा,Phonda,वौभववाडी,Vaibhavwadi,,18,07:15,07:55,SCH,,,,,,,SCHOOL,,183
60,3,59691,S66698,वौभववाडी,Vaibhavwadi,खारेपाटण,Kharepatan,तिठवली,25,08:00,08:50,SCH,,,,,,,SCHOOL,,184
60,4,123468,S66699,खारेपाटण,Kharepatan,विजयदुर्ग,Vijaydurg,गोवळ,86.8,09:05,12:20,,,,152.4,06:15,06:00,,,,185
61,1,123477,S66747,विजयदुर्ग,Vijaydurg,वौभववाडी,Vaibhavwadi,,86,06:15,08:15,,,,,,,,,,187
61,2,127639,S66748,वौभववाडी,Vaibhavwadi,विजयदुर्ग,Vijaydurg,,89,08:30,11:35,,,,175,06:05,06:00,,,,188
62,1,127612,S66745,विजयदुर्ग,Vijaydurg,वौभववाडी,Vaibhavwadi,,53.5,13:30,15:15,,,,,,,,,,190
62,2,123480,S66746,वौभववाडी,Vaibhavwadi,विजयदुर्ग,Vijaydurg,,81.9,15:30,18:25,,,,135.4,05:40,05:35,,,,191
53,1,62806,S66647,विजयदुर्ग,Vijaydurg,देवगड,Devgad,नवानगर (,50.5,12:30,14:10,SCH,,,,,,,SCHOOL,,211
53,2,10772,S66648,देवगड,Devgad,विजयदुर्ग,Vijaydurg,घरीवाडी,42,14:50,16:15,SCH,,,,,,,SCHOOL,,212
53,3,11307,S66649,विजयदुर्ग,Vijaydurg,रामेश्वर हायसकुल,Rameshwar High School,,3,16:30,16:40,SCH,,,,,,,SCHOOL,,213
53,4,30124,S66650,रामेश्श्वर हायसकुल,Rameshwar High School,विजयदुर्ग,Vijaydurg,,3,16:45,16:55,SCH,,,98.5,,,,SCHOOL,,214
54,1,128452,S66652,देवगड,Devgad,विजयदुर्ग,Vijaydurg,अनपुर फाटा,35,06:30,07:50,SCH,,,,,,,SCHOOL,,215
