Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Old_Route_No,Excel_Row_Ref
26,1,125855,66279,देवगड,Devgad,शिरगांव,Shirgaon,"लिंगडाळतिठा, तेलीवाडी, किंजवडे,पारवळ, तोरसोळे",39,06:30,07:50,OPT,DAILY,6 तासांत ड्युटी संपते,124.4,12h 00m,5h 30m,ऑपरेशनल,,125855,163
26,2,11219,66280,शिरगांव,Shirgaon,पाडगाव,Padgaon,दुसनवाडी,7.1,08:50,09:05,OBL,DAILY,,,,,शालेय,,11219,164
26,3,29941,66281,पाडगाव,Padgaon,शिरगांव,Shirgaon,,5.1,09:15,09:25,SC,DAILY,,,,,शालेय,SCHOOL,29941,165
26,4,11367,66282,शिरगांव,Shirgaon,शेवरे,Shevare,3.0 किमी फक्त बुधवार करिता,6,,,BAZAR,WED,,,,,शालेय,,11367,166
26,5,51997,66283,शेवरे,Shevare,शिरगांव,Shirgaon,3.0 किमी फक्त बुधवार करिता,6,,,BAZAR,WED,,,,,शालेय,,51957,167
26,6,11211,66284,शिरगांव,Shirgaon,भोळेवाडी,Bholewadi,"ओंबळ, नाद",11.2,09:30,09:55,OBL,DAILY,,,,,शालेय,,11211,168
26,7,60935,66285,भोळेवाडी,Bholewadi,शिरगांव,Shirgaon,"नाद, ओंबळ",11.2,10:05,10:30,SC,DAILY,,,,,शालेय,,60935,169
26,8,11212,66286,शिरगांव,Shirgaon,चौकेवाडी,Choukewadi,,4.5,11:15,11:25,SC,DAILY,,,,,,,11212,170
26,9,29935,66287,चौकेवाडी,Choukewadi,शिरगांव,Shirgaon,,4.5,11:35,11:45,OBL,DAILY,,,,,,,29935,171
26,10,,66288,शिरगांव,Shirgaon,पाडगाव,Padgaon,7.1 किमी फक्त बुधवार करिता,7.1,,,BAZAR,WED,,,,,शालेय,,11219,172
26,11,,66289,पाडगाव,Padgaon,शिरगांव,Shirgaon,5.1 किमी फक्त बुधवार करिता,5.1,,,BAZAR,WED,,,,,शालेय,,29942,173
26,12,10748,66290,देवगड,Devgad,खुडी पोयरे,Khudi Poyare,"कामते, वागदेवाडी, पन्हाळेवाडी",41.8,16:25,17:55,OBL,DAILY,,,,,शालेय,,125843,174
27,1,29848,66291,पोयरे खुडी,Poyare Khudi,देवगड,Devgad,"खुडी, वागदेवाडी, कामते",37.2,05:50,07:20,OPT,DAILY,विश्रांती 10.55 ते 12.00,153.6,8h 10m,6h 55m,शालेय,SCHOOL,125844,176
27,2,10716,66292,देवगड,Devgad,खुडीपाट,Khudipat,"नारीन्ग्रे, कामते, दाभलवाडी, वागदेवाडी",32.7,07:40,09:00,OBL,DAILY,,,,,शालेय,,125848,177
27,3,29824,66293,खुडीपाट,Khudipat,देवगड,Devgad,"पन्हाळेवाडी, वागदेवाडी, कामते",41.8,09:10,10:55,SC,DAILY,,,,,शालेय,,126334,178
27,4,10746,66294,देवगड,Devgad,पालये,Palye,"कावलेवाडी, फणसे, पडवणे",24,12:00,12:50,SC,DAILY,,,,,शालेय,SCHOOL,125619,179
27,5,29846,66295,पालये,Palye,देवगड,Devgad,"पडवणे, कावलेवाडी",17.9,13:00,13:35,OBL,DAILY,,,,,शालेय,,125624,180
28,1,125859,66296,देवगड,Devgad,वेंगुर्ले,Vengurla,"वाघेरी, फोंडा, मोहूळ, कनेडी  विश्रांती",85.1,06:10,09:35,SC-TPL,DAILY,,165.2,8h 30m,8h 00m,TAPAL,,125859,182
28,2,125868,66297,वेंगुर्ले,Vengurla,देवगड,Devgad,"कनेडी, फोंडा, वाघेरी ,देवगड बंदर(शनिवार रविवार बंदर नाही)",80.1,10:05,13:55,SC-TPL,DAILY,विश्रांती 9.35 ते 10.05,,,,TAPAL,,125868,183
29,1,125877,66298,देवगड,Devgad,आचरा,Achara,"लिंगडाळगाव, किंजवडे, खुडी, पोयरे",51,11:30,13:15,SC,DAILY,,179,8h 05m,6h 30m,शालेय,,125877,185
