Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
38,1,18779,64141,उपवडे,Upawade Kerdalwadi,सावंतवाडी,Sawantwadi,DUKANWAD WADOS MANGAON,33,06:00,07:15,ST,,,,,,,,ORD,226
38,2,75211,64142,सावंतवाडी,Sawantwadi,नेमळे,Nemale,akeri AKERI,15,07:25,07:55,ST,,,,,,,,ORD,227
38,3,75155,64143,नेमळे,Nemale,सावंतवाडी,Sawantwadi,akeri AKERI,15,08:10,08:35,ST,,,,,,,,ORD,228
38,4,11172,64176,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,RAILSTATION MALEWAD,27.2,09:00,10:00,ST,,,,,,,,ORD,229
38,5,18737,64177,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,10:15,11:15,ST,,,,,,,,ORD,230
,1,11161,64052,सावंतवाडी,Sawantwadi,ओटवणे,Otavane Kasar Dukan,,12.4,12:00,01:23,ST,,,,,,,,ORD,232
,2,18611,64053,ओटवणे,Otavane Kasar Dukan,सावंतवाडी,Sawantwadi,,12.4,01:24,01:31,ST,,,,,,,,ORD,233
,3,11180,64136,सावंतवाडी,Sawantwadi,शिवापूर,Shivapur High School,MANGAON WADOS DUKANWAD WASOLI,38.6,13:30,15:15,ST,,,,,,,,ORD,234
,4,18773,64137,शिवापूर,Shivapur High School,सावंतवाडी,Sawantwadi,WASOLI DUKANWAD WADOS MANGAON,38.6,15:30,17:10,ST,,,,,,,,ORD,235
,5,11159,64138,सावंतवाडी,Sawantwadi,,Nirukhewadi,,8.2,17:35,17:55,ST,,,,,,,,ORD,236
,6,18600,64139,,Nirukhewadi,सावंतवाडी,Sawantwadi,,8.2,18:00,18:20,ST,,,,,,,,ORD,237
,7,11185,64140,सावंतवाडी,Sawantwadi,उपवडे,Upawade Kerdalwadi,MANGAON WADOS DUKANWAD,33,18:30,20:05,ST,,,,,,,,ORD,238
39,1,18616,64165,पारपोली,Parpoli,सावंतवाडी,Sawantwadi,OWLIYE  DEWSU  DANOLI,24.7,06:00,06:50,ST,,,,,,,,ORD,240
39,2,11118,64166,सावंतवाडी,Sawantwadi,बाबरवाडी,Babarwadi,BANDA DODAMARG  BHEDSHI  TILARI,59.1,07:01,09:10,ST,,,,,,,,ORD,241
39,3,17589,64167,बाबरवाडी,Babarwadi,सावंतवाडी,Sawantwadi,TILARI BHEDSHI DODAMARG KALANE BANDA,59.1,09:15,11:50,ST,,,,,,,,ORD,242
,3,11117,64357,सावंतवाडी,Sawantwadi,असनिये,Asniye,ZOLAMBE BANDA DEGWE TALKAT ZOLAMBE,33.7,12:30,13:45,ST,,,,,,,,ORD,244
,4,99613,64358,असनिये,Asniye,सावंतवाडी,Sawantwadi,ZOLAMBE ZOLAMBE  TALKAT  DEGAWE,33.7,14:00,15:15,ST,,,,,,,,ORD,245
,3,61938,64162,सावंतवाडी,Sawantwadi,,Nanos Konkan Pharma,MALEWAD SHIRODA,32.8,16:20,17:45,ST,,,,,,,,ORD,247
,4,61939,64163,,Nanos Konkan Pharma,सावंतवाडी,Sawantwadi,SHIRODA MALEWAD RAILSTATION,32.8,17:50,19:05,ST,,,,,,,,ORD,248
,5,11165,64164,सावंतवाडी,Sawantwadi,पारपोली,Parpoli,DANOLI  DEWSU OWALIYE,24.7,19:15,20:05,ST,,,,,,,,ORD,249
40,1,118486,64175,,Nidali,सावंतवाडी,Sawantwadi,wanoshi TILARI BHEDSHI WANOSHI KALANE BANDA,62.5,06:00,08:45,ST,,,,,,,,ORD,251
40,2,11122,64144,सावंतवाडी,Sawantwadi,भटपावणी,Bhatpawani,RAILSTATION MALEWAD ARONDA,33,09:00,10:30,OBL,,,,,,,,ORD,252
40,3,17609,64145,भटपावणी,Bhatpawani,सावंतवाडी,Sawantwadi,ARONDA MALEWAD,33,10:40,11:45,OBL,,,,,,,,ORD,253
,1,11115,64261,सावंतवाडी,Sawantwadi,आरोंदा बाजार,Aronda Bazar,MALGAON RAILSTATION AROS KONDURATITHA,28.8,12:00,13:00,ST,,,,,,,,ORD,255
,2,17376,64262,आरोंदा बाजार,Aronda Bazar,सावंतवाडी,Sawantwadi,KONDURATITHA AROS RAILSTATION MALGAON,28.8,13:10,14:10,ST,,,,,,,,ORD,256
,3,11140,64263,सावंतवाडी,Sawantwadi,रेडी कनयाळ,Redi Kanyal,MALEWAD ARONDA,39.3,15:45,17:15,ST,,,,,,,,ORD,257
,4,18535,64264,रेडी कनयाळ,Redi Kanyal,सावंतवाडी,Sawantwadi,ARONDA MALEWAD,39.3,17:30,19:00,ST,,,,,,,,ORD,258
,5,73183,64265,सावंतवाडी,Sawantwadi,झरेबांबर,Zare Bambar,BANDA DODAMARG,42.1,19:30,21:05,ST,,,,,,,,ORD,259
41,1,17593,64188,घारपी,Gharpi,बांदा,Banda,ASNIYE TAMBOLI VILAWADE,24.3,05:45,06:45,ST,,,,,,,,ORD,261
41,2,64232,64189,बांदा,Banda,डिंगणे,Dingane Mandir,PATRADEVI GALEL,7.9,06:50,07:05,ST,,,,,,,,ORD,262
41,3,64233,64190,डिंगणे,Dingane Mandir,बांदा,Banda,GALEL PATRADEVI,7.9,07:10,07:35,ST,,,,,,,,ORD,263
41,4,10665,64191,बांदा,Banda,भालावल,Bhalawal Gpo,VILAWADE,9,07:40,08:10,OBL,,,,,,,,ORD,264
41,5,17588,64192,भालावल,Bhalawal Gpo,बांदा,Banda,VALAWADE,9,08:15,08:50,OBL,,,,,,,,ORD,265
41,6,10662,64193,बांदा,Banda,घारपी,Gharpi,VILAWADE TAMBOLI ASNIYE,24.3,08:40,10:00,ST,,,,,,,,ORD,266
41,7,17593,64194,घारपी,Gharpi,बांदा,Banda,ASNIYE TAMBOLI VILAWADE,24.3,09:45,11:10,ST,,,,,,,,ORD,267
41,8,64232,64195,बांदा,Banda,डिंगणे,Dingane Mandir,PATRADEVI GALEL,7.9,10:50,11:40,ST,,,,,,,,ORD,268
41,9,64233,64196,डिंगणे,Dingane Mandir,बांदा,Banda,GALEL PATRADEVI,7.9,11:10,12:05,ST,,,,,,,,ORD,269
41,10,17603,64258,बांदा,Banda,सावंतवाडी,Sawantwadi,,12.6,14:45,12:45,OPN,,,,,,,,ORD,270
,4,75280,64599,सावंतवाडी,Sawantwadi,नेमळे,Nemale,MALGAON,15,12:30,01:33,ST,,,,,,,,ORD,272
,5,56665,64600,नेमळे,Nemale,सावंतवाडी,Sawantwadi,malgaon MALGAON,15,13:10,01:41,ST,,,,,,,,ORD,273
,1,11119,64257,सावंतवाडी,Sawantwadi,बांदा,Banda,,12.6,11:00,11:30,OPN,,,,,,,,ORD,285
,2,10665,64179,बांदा,Banda,कोनशी,Konshi,WAFOLI SOCI VILAWADE,14.5,11:50,12:10,NOBL,,,,,,,,ORD,286
,3,17588,64180,कोनशी,Konshi,बांदा,Banda,VILAWADE WAFOLI SOCI,14.5,12:30,13:00,NOBL,,,,,,,,ORD,287
,4,10662,64181,बांदा,Banda,घारपी,Gharpi,VILAWADE TAMBOLI ASNIYE,24.3,13:10,14:30,ST,,,,,,,,ORD,288
,5,17593,64182,घारपी,Gharpi,बांदा,Banda,ASNIYE TAMBOLI VILAWADE,24.3,14:15,15:40,ST,,,,,,,,ORD,289
,6,10662,64209,बांदा,Banda,घारपी,Gharpi,VILAWADE TAMBOLI ASNIYE,24.3,15:40,17:00,ST,,,,,,,,ORD,290
,7,17593,64210,घारपी,Gharpi,बांदा,Banda,ASNIYE TAMBOLI VILAWADE,24.3,17:20,18:10,ST,,,,,,,,ORD,291
,8,10662,64187,बांदा,Banda,घारपी,Gharpi,VILAWADE TAMBOLI ASNIYE,24.3,18:30,19:00,ST,,,,,,,,ORD,292
43,1,64748,64471,दाभिळ,Dabhil,बांदा,Banda,SARMALE VILAWADE,15.9,05:50,06:25,ST,,,,,,,,ORD,294
43,2,10659,64211,बांदा,Banda,असनिये,Asniye,WAFOLI SOCI VILAWADE TAMBOLI,18.8,06:30,07:10,ST,,,,,,,,ORD,295
43,3,17585,64212,असनिये,Asniye,बांदा,Banda,TAMBOLI VILAWADE WAFOLI SOCI,18.8,07:20,08:00,ST,,,,,,,,ORD,296
43,4,10664,64213,बांदा,Banda,कोळमवाडी,Kolambwadi,,18.8,08:10,08:50,OBL,,,,,,,,ORD,297
43,5,17598,64214,कोळमवाडी,Kolambwadi,बांदा,Banda,,18.8,09:00,09:40,OBL,,,,,,,,ORD,298
43,6,10659,64215,बांदा,Banda,असनिये,Asniye,WAFOLI SOCI VILAWADE TAMBOLI,18.8,09:50,10:30,ST,,,,,,,,ORD,299
43,7,17585,64216,असनिये,Asniye,बांदा,Banda,TAMBOLI VILAWADE WAFOLI SOCI,18.8,10:40,11:20,ST,,,,,,,,ORD,300
43,8,17603,64285,बांदा,Banda,सावंतवाडी,Sawantwadi,,12.6,11:30,12:00,OPN,,,,,,,,ORD,301
,1,11162,64282,सावंतवाडी,Sawantwadi,पाळये,Palye,BANDA DODAMARG BHEDSHI TILARI,57.1,13:35,15:45,ST,,,,,,,,ORD,303
,2,98087,64283,पाळये,Palye,दोडामार्ग,Dodamarg,TILARI BHEDSHI WANOSHI KUDASA,21,16:00,16:35,ST,,,,,,,,ORD,304
,3,63617,64611,दोडामार्ग,Dodamarg,,Parme,,18,17:00,07:45,OBL,,,,,,,,ORD,305
,4,63618,64612,,Parme,दोडामार्ग,Dodamarg,,18,17:50,18:35,OBL,,,,,,,,ORD,306
,5,10787,64286,दोडामार्ग,Dodamarg,मांगेली,Mangeli Dewoolwadi,BHEDSHI KHOKRAL,24.3,18:00,19:40,ST,,,,,,,,ORD,307
44,1,17740,64254,विर्डी,Virdi,दोडामार्ग,Dodamarg,TALEKHOL VAZARE,23.8,06:45,07:45,ST,,,,,,,,ORD,309
44,2,10788,64255,दोडामार्ग,Dodamarg,,Morle Gaon,BHEDSHI TILARI,23.8,08:00,08:50,NOBL,,,,,,,,ORD,310
44,3,17702,64256,,Morle Gaon,दोडामार्ग,Dodamarg,TILARI BHEDSHI,23.8,08:50,09:50,NOBL,,,,,,,,ORD,311
44,4,63617,64606,दोडामार्ग,Dodamarg,,Parme,,18,09:15,10:40,OBL,,,,,,,,ORD,312
44,5,63618,64607,,Parme,दोडामार्ग,Dodamarg,,18,10:00,11:30,OBL,,,,,,,,ORD,313
44,6,11313,64259,दोडामार्ग,Dodamarg,,Khokral,,15.3,11:45,12:10,ST,,,,,,,,ORD,314
44,7,17627,64260,,Khokral,दोडामार्ग,Dodamarg,,18.3,12:20,13:00,ST,,,,,,,,ORD,315
,1,10787,64398,दोडामार्ग,Dodamarg,मांगेली,Mangeli Dewoolwadi,BHEDSHI KHOKRAL,26,13:15,14:25,ST,,,,,,,,ORD,317
,2,17628,64399,मांगेली,Mangeli Dewoolwadi,दोडामार्ग,Dodamarg,KHOKRAL  BHEDSHI,26,14:30,15:40,ST,,,,,,,,ORD,318
,3,60649,64440,दोडामार्ग,Dodamarg,पिकुळे,Pikule Mandir,zare bambar ZAREBAMBAR,12.3,16:00,16:25,ST,,,,,,,,ORD,319
,4,60648,64441,पिकुळे,Pikule Mandir,दोडामार्ग,Dodamarg,zarebambar ZAREBAMBAR,12.3,16:25,17:05,ST,,,,,,,,ORD,320
,5,63048,64442,दोडामार्ग,Dodamarg,शिरंगे,Shirange,BHEDSHI,15,17:30,18:05,ST,,,,,,,,ORD,321
,6,63049,64443,शिरंगे,Shirange,दोडामार्ग,Dodamarg,BHEDSHI,15,18:10,18:45,ST,,,,,,,,ORD,322
,7,10785,64438,दोडामार्ग,Dodamarg,बिजघर,Bijghar Colony,BHEDSHI TILARI MULAS,31.1,19:00,20:00,ST,,,,,,,,ORD,323
45,1,74125,64266,झरेबांबर,Zare Bambar,सावंतवाडी,Sawantwadi,DODAMARG  BANDA,42.1,06:15,07:50,ST,,,,,,,,ORD,325
45,2,72135,64267,सावंतवाडी,Sawantwadi,वर्दे,Varde,sindhudurg KUDAL  SINDHUDURGNAGARI,50.4,08:30,09:30,NOBL,,,,,,,,ORD,326
45,3,72138,64268,वर्दे,Varde,सावंतवाडी,Sawantwadi,KUDAL,36.2,09:50,11:30,NOBL,,,,,,,,ORD,327
,3,11140,64365,सावंतवाडी,Sawantwadi,रेडी कनयाळ,Redi Kanyal,RAILSTATION MALEWAD ARONDA,39.3,13:00,14:30,ST,,,,,,,,ORD,329
,4,18535,64366,रेडी कनयाळ,Redi Kanyal,सावंतवाडी,Sawantwadi,ARONDA MALEWAD RAILSTATION,39.3,14:40,16:10,ST,,,,,,,,ORD,330
,5,11160,64367,सावंतवाडी,Sawantwadi,निवजे,Nivaje Mandir,MANGAON AMBERI,22.2,17:10,18:10,ST,,,,,,,,ORD,331
,6,18607,64368,निवजे,Nivaje Mandir,सावंतवाडी,Sawantwadi,AMBERI  MANGAON,22.2,18:10,19:10,ST,,,,,,,,ORD,332
46,1,107645,64274,आई,Aie,दोडामार्ग,Dodamarg,ambadpal MATNE AMBADGAON,15,06:20,07:00,ST,,,,,,,,ORD,334
46,2,73297,64510,दोडामार्ग,Dodamarg,तिराळी,Tirali,BHEDSHI,18,07:00,07:45,ST,,,,,,,,ORD,335
46,3,94440,64511,तिराळी,Tirali,दोडामार्ग,Dodamarg,BHEDSHI KUDASA,21,07:45,08:30,ST,,,,,,CHANGE,,ORD,336
46,4,118487,64279,दोडामार्ग,Dodamarg,केर निडली,Ker,BHEDSHI TILARI  MORLE,26.5,08:30,09:35,ST,,,,,,,,ORD,337
46,5,118489,64280,,Nidali,सावंतवाडी,Sawantwadi,MORLE TILARI  BHEDSHI DODAMARG BANDA,62.5,09:40,12:05,ST,,,,,,,,ORD,338
,1,107675,64269,सावंतवाडी,Sawantwadi,उसप,Usap,ZAREBAMBAR BANDA  DODAMARG ZAREBAMBAR PIKULE,51.4,12:30,14:30,ST,,,,,,,,ORD,340
,2,17746,64270,उसप,Usap,दोडामार्ग,Dodamarg,zarebambar PIKULE  ZAREBAMBAR,14.5,14:40,15:30,ST,,,,,,,,ORD,341
,3,10786,64271,दोडामार्ग,Dodamarg,केर,Ker,BHEDSHI TILARI  MORLE,26.5,16:00,16:30,ST,,,,,,,,ORD,342
,4,17612,64272,केर,Ker,दोडामार्ग,Dodamarg,MORLE TILARI  BHEDSHI,26.5,16:40,17:30,ST,,,,,,,,ORD,343
,5,10792,64273,दोडामार्ग,Dodamarg,आई,Aie,VAZARE MATNE PARYE,15,18:20,19:00,ST,,,,,,CHANGE,,ORD,344
47,1,17628,64287,मांगेली,Mangeli Dewoolwadi,दोडामार्ग,Dodamarg,KHOKRAL  BHEDSHI,24.3,06:00,07:10,ST,,,,,,,,ORD,347
47,2,60649,64288,दोडामार्ग,Dodamarg,पिकुळे,Pikule Mandir,zare bambar ZAREBAMBAR,12.3,07:10,07:45,ST,,,,,,,,ORD,348
47,3,60648,64289,पिकुळे,Pikule Mandir,दोडामार्ग,Dodamarg,zarebambar ZAREBAMBAR,12.3,07:50,08:20,ST,,,,,,,,ORD,349
47,4,10789,64290,दोडामार्ग,Dodamarg,पाळये,Palye,kudasa titha BHEDSHI TILARI,21,09:00,09:45,ST,,,,,,,,ORD,350
47,5,61924,64291,पाळये,Palye,दोडामार्ग,Dodamarg,kudasa TILARI  BHEDSHI KUDASA,31,10:00,11:15,ST,,,,,,,,ORD,351
47,6,10797,64292,दोडामार्ग,Dodamarg,उसप,Usap,pikule PIKULE,17.3,12:00,12:40,ST,,,,,,,,ORD,352
47,7,17749,64293,उसप,Usap,दोडामार्ग,Dodamarg,pikule PIKULE,17.3,12:50,13:30,ST,,,,,,,,ORD,353
47,8,17715,64757,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,KALNE  BANDA,36.9,13:30,15:00,OPN,,,,,,,,ORD,354
48,1,18442,64311,कुंब्रल,Kumbral Mandir,सावंतवाडी,Sawantwadi,KOLZAR  TALKAT BANDA,34.2,07:00,08:15,ST,,,,,,,,ORD,360
48,2,11149,64312,सावंतवाडी,Sawantwadi,कुडासा,Kudasa,BANDA TALKAT KOLZAR KUMBRAL BHARPAL,40.2,08:30,09:55,ST,,,,,,,,ORD,361
48,3,18445,64313,कुडासा,Kudasa,सावंतवाडी,Sawantwadi,BHARPAL KUMBRAL KOLZAR TALKAT BANDA,40.2,10:10,11:25,ST,,,,,,,,ORD,362
,1,11185,64036,सावंतवाडी,Sawantwadi,उपवडे,Upawade Kerdalwadi,MANGAON  WADOS  DUKANWAD,33,12:15,13:30,ST,,,,,,,,ORD,364
,2,18779,64037,उपवडे,Upawade Kerdalwadi,सावंतवाडी,Sawantwadi,DUKANWAD WADOS MANGAON,33,13:40,14:55,ST,,,,,,,,ORD,365
,3,11178,64308,सावंतवाडी,Sawantwadi,शिरशिंगे,Shirshinge Gothavewadi,SANGELI  KALAMBIST,30.2,16:00,17:20,ST,,,,,,,,ORD,366
,4,18649,64309,शिरशिंगे,Shirshinge Gothavewadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,30.2,17:30,18:50,ST,,,,,,,,ORD,367
,5,11153,64310,सावंतवाडी,Sawantwadi,कुंब्रल,Kumbral Mandir,BANDA TALKAT KOLZAR,34.2,19:00,20:25,ST,,,,,,,,ORD,368
49,1,18446,64320,कुडासा,Kudasa,बांदा,Banda,BHARPAL KUMBRAL KOLZAR TALKAT BANDA,28.1,06:15,07:15,ST,,,,,,,,ORD,370
49,2,10671,64321,बांदा,Banda,विठठलवाडी,Vitthalwadi,DEGAWE TALKAT ZOLAMBE,18,07:40,08:10,OBL,,,,,,,,ORD,371
49,3,17604,64322,विठठलवाडी,Vitthalwadi,बांदा,Banda,ZOLAMBE  TALKAT  DEGAWE,18,08:20,08:50,OBL,,,,,,,,ORD,372
49,4,17603,64759,बांदा,Banda,सावंतवाडी,Sawantwadi,,12.6,09:00,09:30,OPN,,,,,,,,ORD,373
,4,11160,64456,सावंतवाडी,Sawantwadi,निवजे,Nivaje Mandir,MANGAON AMBERI,22.2,11:40,12:35,ST,,,,,,,,ORD,376
,5,18607,64457,निवजे,Nivaje Mandir,सावंतवाडी,Sawantwadi,AMBERI MANGAON,22.2,12:35,13:35,ST,,,,,,,,ORD,377
,1,11141,64060,सावंतवाडी,Sawantwadi,कास,Kas Mauli Mandir,BANDA  SHERLA,25.3,12:00,13:00,ST,,,,,,,,ORD,378
,2,17596,64061,कास,Kas Mauli Mandir,सावंतवाडी,Sawantwadi,SHERLA  BANDA,25.3,13:10,14:10,ST,,,,,,,,ORD,379
,3,11127,64062,सावंतवाडी,Sawantwadi,दोडामार्ग,Dodamarg,BANDA KALNE,36.9,14:30,15:50,NOBL,,,,,,,,ORD,380
,4,17611,64063,दोडामार्ग,Dodamarg,बांदा,Banda,kumbral BHARPAL PANTURLI KUMBRAL KOLZAR TALKAT DEGWE,36,17:00,18:15,NOBL,,,,,,,,ORD,381
,5,10666,64319,बांदा,Banda,कुडासा,Kudasa,DEGWE TALKAT KOLZAR KUMBRAL BHARPAL,28.1,18:30,19:30,ST,,,,,,,,ORD,382
50,1,17377,64333,किरणपाणी,Kiranpani,सावंतवाडी,Sawantwadi,shiroda ARONDA SHIRODA MALEWAD RAILSTATION,35.2,06:00,07:20,ST,,,,,,,,ORD,384
50,2,11174,64334,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,phanaskhol PHANASKHOL,34.2,07:30,08:45,NOBL,,,,,,,,ORD,385
50,3,18737,64335,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,09:00,10:00,NOBL,,,,,,,,ORD,386
50,4,11178,64158,सावंतवाडी,Sawantwadi,शिरशिंगे,Shirshinge Gothavewadi,SANGELI   KALAMBIST upto Malai,28.2,10:00,11:30,OBL,,,,,,,,ORD,387
50,5,18649,64159,शिरशिंगे,Shirshinge Gothavewadi,सावंतवाडी,Sawantwadi,From Malai KALAMBIST  SANGELI,28.2,11:10,12:40,OBL,,,,,,,,ORD,388
,5,109033,64458,सावंतवाडी,Sawantwadi,,Boyache Kerwade Titha,,27,00:13,00:14,ST,,,,,,,,ORD,390
,6,119034,64459,,Boyache Kerwade Titha,सावंतवाडी,Sawantwadi,,27,01:41,01:51,ST,,,,,,,,ORD,391
,3,100051,64557,सावंतवाडी,Sawantwadi,वजराट,Vajrath Chavata,AKERI  KAMLAEWEER,15,17:00,17:55,ST,,,,,,,,ORD,393
,4,100052,64558,वजराट,Vajrath Chavata,सावंतवाडी,Sawantwadi,KAMALEWEER AKERI,15,17:30,18:20,ST,,,,,,,,ORD,394
,5,11114,64332,सावंतवाडी,Sawantwadi,किरणपाणी,Kiranpani,RAILSTATION MALEWAD ARONDA GOLTUVWADI ARONDA,42.4,17:30,19:15,ST,,,,,,,,ORD,395
51,1,11161,64338,सावंतवाडी,Sawantwadi,ओटवणे,Otavane Kasar Dukan,,12.4,06:00,06:30,ST,,,,,,,,ORD,397
51,2,18611,64339,ओटवणे,Otavane Kasar Dukan,सावंतवाडी,Sawantwadi,,12.4,06:40,07:10,ST,,,,,,,,ORD,398
51,3,11129,64340,सावंतवाडी,Sawantwadi,दोडामार्ग,Dodamarg,"zolambe ZOLAMBE , KUMBRAL",57.9,07:30,09:35,,,,,,,,,,399
51,4,17715,64341,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,,36.9,01:03,01:15,,,,,,,,,,400
51,5,11183,64407,सावंतवाडी,Sawantwadi,सोनुर्ली,Sonurli Sateri Mandir,RAILSTATION NHAWELI,14.9,12:15,12:55,ST,,,,,,,,ORD,401
51,6,18640,64408,सोनुर्ली,Sonurli Sateri Mandir,सावंतवाडी,Sawantwadi,NHAWELI RAILSTATION,14.9,13:00,13:40,ST,,,,,,,,ORD,402
,3,11122,64478,सावंतवाडी,Sawantwadi,भटपावणी,Bhatpawani,RAILSTATION MALEWAD  ARONDA,33,13:45,15:05,ST,,,,,,,,ORD,404
,4,17609,64479,भटपावणी,Bhatpawani,सावंतवाडी,Sawantwadi,ARONDA MALEWAD RAILSTATION,33,15:05,16:25,ST,,,,,,,,ORD,405
,5,11137,64622,सावंतवाडी,Sawantwadi,कालिकामंदीर,Kalika Mandir,,8.2,16:30,16:50,NOBL,,,,,,,,ORD,406
,6,18448,64623,कालिकामंदीर,Kalika Mandir,सावंतवाडी,Sawantwadi,,8.2,16:55,17:10,NOBL,,,,,,,,ORD,407
,7,88386,64591,सावंतवाडी,Sawantwadi,फणसवडे,Phanasawade,,24,14:00,18:45,ST,,,,,,,,ORD,408
,8,88387,64592,फणसवडे,Phanasawde,सावंतवाडी,Sawantwadi,,24,15:05,19:50,ST,,,,,,,,ORD,409
52,1,11145,64344,सावंतवाडी,Sawantwadi,खेरवाडी,Kherwadi,MALGAO TALAWADE,13.8,06:00,06:30,ST,,,,,,,,ORD,411
52,2,18537,64345,खेरवाडी,Kherwadi,सावंतवाडी,Sawantwadi,TALAWADE MALGAON,13.8,06:40,07:05,ST,,,,,,,,ORD,412
52,3,11137,64346,सावंतवाडी,Sawantwadi,कालिकामंदीर,Kalika Mandir,,8.2,07:20,07:40,NOBL,,,,,,CHECK KMS,,ORD,413
52,4,18448,64347,कालिकामंदीर,Kalika Mandir,सावंतवाडी,Sawantwadi,,8.2,07:50,08:05,NOBL,,,,,,CHECH KMS,,ORD,414
52,5,11127,64445,सावंतवाडी,Sawantwadi,दोडामार्ग,Dodamarg,BANDA KALANE,36.9,08:45,10:05,OPN,,,,,,,,ORD,415
52,6,10798,64349,दोडामार्ग,Dodamarg,पिकुळे,Pikule Mandir,zare bambar ZAREBAMBAR PIKULE,17.3,10:15,10:45,ST,,,,,,,,ORD,416
52,7,17746,64350,पिकुळे,Pikule Mandir,दोडामार्ग,Dodamarg,zarebambar PIKULE  ZAREBAMBAR,17.3,10:50,11:30,ST,,,,,,,,ORD,417
52,8,60632,64446,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,kumbral BHARPAL KUMBRAL KOLZAR TALKAT BANDA  PAGAWADI,57,11:45,14:00,OPN,,,,,,,,ORD,418
53,1,11159,64369,सावंतवाडी,Sawantwadi,,Nirukhewadi,,8.2,06:30,06:45,ST,,,,,,,,ORD,423
53,2,18600,64370,,Nirukhewadi,सावंतवाडी,Sawantwadi,,8.2,06:45,07:20,ST,,,,,,,,ORD,424
53,3,45352,64753,सावंतवाडी,Sawantwadi,पणजी,Panjim,BANDA PATRADEVI MHAPSA,61.7,08:00,10:00,NOBL,,,,,,,,ORD,425
53,4,10680,64431,पणजी,Panjim,बेळगांव,Belgaum,MHAPSA ASNODA DODAMARG BHEDSHI TILARINAGAR PATNEPHATA,127.5,10:45,15:00,NOBL,,,,,,,,ORD,426
53,5,59624,64432,बेळगांव,Belgaum,सावंतवाडी,Sawantwadi,PATNEPHATA CHANDGADPHATA KANUR AMBOLI,103,16:00,19:00,NOBL,,,,,,,,ORD,427
54,1,11137,64433,सावंतवाडी,Sawantwadi,कालिकामंदीर,Kalika Mandir,,8.2,06:10,06:30,ST,,,,,,,,ORD,429
54,2,18448,64434,कालिकामंदीर,Kalika Mandir,सावंतवाडी,Sawantwadi,,8.2,06:35,06:55,ST,,,,,,,,ORD,430
54,3,60307,64435,सावंतवाडी,Sawantwadi,,Malgaon,,6.3,07:00,07:15,ST,,,,,,,,ORD,431
54,4,60308,64436,,Malgaon,सावंतवाडी,Sawantwadi,,6.3,07:25,07:40,ST,,,,,,,,ORD,432
,1,11177,64363,सावंतवाडी,Sawantwadi,,Dhondwadi,SANGELI  KALAMBIST,28.2,08:00,09:00,ST,,,,,,,,ORD,434
,2,60300,64364,,Dhondwadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,28.2,09:10,10:10,ST,,,,,,,,ORD,435
,1,11142,64249,सावंतवाडी,Sawantwadi,केर,Ker,BANDA DODAMARG BHEDSHI TILARI MORLE,62.5,10:30,13:00,ST,,,,,,NOT FOUND IN FORM 4,,ORD,437
,2,118530,64250,केर,Ker,बांदा,Banda,MORLE TILARI BHEDSHI DODAMARG KALANE,50.8,13:10,14:10,ST,,,,,,,,ORD,438
,3,10784,64485,बांदा,Banda,दोडामार्ग,Dodamarg,DEGWE TALKAT KOLZAR KUMBRAL BHARPAL,36,16:00,17:15,NOBL,,,,,,,,ORD,439
,4,17715,64486,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,KALNE  BANDA,36.9,16:45,18:50,NOBL,,,,,,,,ORD,440
55,1,60600,64439,बिजघर,Bijghar Colony,दोडामार्ग,Dodamarg,sonaval SONAVAL MULAS TILARI BHEDSHI,31.1,06:45,07:45,ST,,,,,,,,ORD,442
55,2,10793,64404,दोडामार्ग,Dodamarg,फणसवाडी,Phanaswadi,BHEDSHI KHOKRAL TALEWADI,29,08:00,09:10,NOBL,,,,,,,,ORD,443
55,3,60668,64405,फणसवाडी,Phanaswadi,दोडामार्ग,Dodamarg,TALEWADI KHOKRAL BHEDSHI,29,09:10,10:10,NOBL,,,,,,,,ORD,444
55,4,63048,64463,दोडामार्ग,Dodamarg,शिरंगे,Shirange,BHEDSHI,15,12:30,10:40,ST,,,,,,,,ORD,445
55,5,63049,64464,शिरंगे,Shirange,दोडामार्ग,Dodamarg,BHEDSHI,15,13:10,11:10,ST,,,,,,,,ORD,446
55,6,17715,64761,दोडामार्ग,Dodamarg,सावंतवाडी,Sawantwadi,KALNE  BANDA,36.9,10:35,13:20,OPN,,,,,,,,ORD,447
