Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
,1,,3412,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,Amboli NIPANI UTTUR AJARA AMBOLI,149.6,23:15,03:30,NOBL,,,,,,,,LD,38
9,1,80542,3480,निगडी,Nigadi,सावंतवाडी,Sawantwadi,Amboli PUNE STN SATARA KARAD KOLHAPUR NIPANI UTTUR AJARA AMBOLI,406.7,06:30,16:30,NOBL,,,,,,,,LD,40
10,1,404,3421,सावंतवाडी,Sawantwadi,कोल्हापुर,Kolhapur,Amboli AMBOLI AJARA UTTUR NIPANI,149.6,09:00,01:33,NOBL,,,,,,,,LD,41
10,1,,3421,कोल्हापुर,Kolhapur,तुळजापूर,Tuljapur,,302.2,14:00,02:05,NOBL,,,,,,,,,42
11,1,11246,3422,तुळजापूर,Tuljapur,कोल्हापुर,Kolhapur,,302.2,10:00,,NOBL,,,,,,,,,44
11,1,,3422,कोल्हापुर,Kolhapur,सावंतवाडी,Sawantwadi,Amboli NIPANI UTTUR AJARA AMBOLI,149.6,17:00,21:05,NOBL,,,,,,,,LD,45
12,1,11123,3415,सावंतवाडी,Sawantwadi,दापोली,Dapoli,Deorukh KUDAL KANKAVALI RAJAPUR  BHAMBED SAKHARPA DEORUKH CHIPLUN KHED,315.1,08:00,17:00,NOBL,,,,,,,,LD,47
13,1,39376,3416,दापोली,Dapoli,सावंतवाडी,Sawantwadi,Hatkhamba KHED CHIPLUN HATKHAMBA LANJA RAJAPUR KANKAVALI KUDAL,315.1,08:00,17:00,NOBL,,,,,,,,LD,50
,3,11148,64396,सावंतवाडी,Sawantwadi,कुडाळ,Kudal St Depot,,22.2,17:10,17:50,NOBL,,,,,,,,ORD,52
,4,18541,64397,कुडाळ,Kudal St Depot,सावंतवाडी,Sawantwadi,,22.2,18:05,18:45,NOBL,,,,,,,,ORD,53
